"chart","year","rank","title","artist","image"
"top-artists","2009","45","","3OH!3","https://charts-static.billboard.com/img/2009/12/3oh3-eia-53x53.jpg"
"top-artists","2009","46","","Jonas Brothers","https://charts-static.billboard.com/img/2007/12/jonas-brothers-r3d-artist-chart-i1c-53x53.jpg"
"top-artists","2009","47","","Jeremih","https://charts-static.billboard.com/img/2009/12/jeremih-684-53x53.jpg"
"top-artists","2009","48","","Toby Keith","https://charts-static.billboard.com/img/2017/07/toby-keith-53x53.jpg"
"top-artists","2009","49","","Mariah Carey","https://charts-static.billboard.com/img/1990/12/mariah-carey-tgq-53x53.jpg"
"top-artists","2009","50","","Maxwell","https://charts-static.billboard.com/img/2009/12/maxwell-ks6-53x53.jpg"
"top-artists","2010","1","","Lady Gaga","https://charts-static.billboard.com/img/2017/05/lady-gaga-53x53.jpg"
"top-artists","2010","2","","Taylor Swift","https://charts-static.billboard.com/img/2006/12/taylor-swift-p7u-artist-chart-ylp-53x53.jpg"
"top-artists","2010","3","","Eminem","https://charts-static.billboard.com/img/2017/02/eminem-53x53.jpg"
"top-artists","2010","4","","Lady A","https://charts-static.billboard.com/img/2017/07/lady-antebellum-53x53.jpg"
"top-artists","2010","5","","Ke$ha","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"top-artists","2010","6","","Usher","https://charts-static.billboard.com/img/2004/12/usher-oqp-53x53.jpg"
"top-artists","2010","7","","The Black Eyed Peas","https://charts-static.billboard.com/img/1840/12/the-black-eyed-peas-99h-53x53.jpg"
"top-artists","2010","8","","Justin Bieber","https://charts-static.billboard.com/img/2009/07/justin-bieber-4oh-53x53.jpg"
"top-artists","2010","9","","Rihanna","https://charts-static.billboard.com/img/2006/12/rihanna-t38-artist-chart-vji-53x53.jpg"
"top-artists","2010","10","","Drake","https://charts-static.billboard.com/img/2009/12/drake-hq6-artist-chart-vz1-53x53.jpg"
"top-artists","2010","11","","Katy Perry","https://charts-static.billboard.com/img/2008/12/katy-perry-l8p-53x53.jpg"
"top-artists","2010","12","","Susan Boyle","https://charts-static.billboard.com/img/2010/12/susan-boyle-avh-53x53.jpg"
"top-artists","2010","13","","Jason Derulo","https://charts-static.billboard.com/img/2009/12/jason-derulo-3xq-53x53.jpg"
"top-artists","2010","14","","B.o.B","https://charts-static.billboard.com/img/2010/12/bob-1-t7h-53x53.jpg"
"top-artists","2010","15","","Taio Cruz","https://charts-static.billboard.com/img/2010/12/taio-cruz-vf6-53x53.jpg"
"top-artists","2010","16","","Train","https://charts-static.billboard.com/img/2017/05/train-53x53.jpg"
"top-artists","2010","17","","Ludacris","https://charts-static.billboard.com/img/2017/04/ludacris-53x53.jpg"
"top-artists","2010","18","","Trey Songz","https://charts-static.billboard.com/img/2017/06/trey-songz-53x53.jpg"
"top-artists","2010","19","","Michael Buble","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"top-artists","2010","20","","Lil Wayne","https://charts-static.billboard.com/img/2017/08/lil-wayne-53x53.jpg"
"top-artists","2010","21","","Alicia Keys","https://charts-static.billboard.com/img/2006/12/alicia-keys-xkr-53x53.jpg"
"top-artists","2010","22","","Bruno Mars","https://charts-static.billboard.com/img/2010/12/bruno-mars-va7-53x53.jpg"
"top-artists","2010","23","","Carrie Underwood","https://charts-static.billboard.com/img/1840/12/carrie-underwood-obd-53x53.jpg"
"top-artists","2010","24","","Miley Cyrus","https://charts-static.billboard.com/img/2017/06/miley-cyrus-53x53.jpg"
"top-artists","2010","25","","Zac Brown Band","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"top-artists","2010","26","","JAY-Z","https://charts-static.billboard.com/img/2006/12/jay-z-g81-artist-chart-x1y-53x53.jpg"
"top-artists","2010","27","","Adam Lambert","https://charts-static.billboard.com/img/2010/12/adam-lambert-039-53x53.jpg"
"top-artists","2010","28","","Michael Jackson","https://charts-static.billboard.com/img/1840/12/michael-jackson-9to-53x53.jpg"
"top-artists","2010","29","","Young Money","https://charts-static.billboard.com/img/2009/12/young-money-7wj-53x53.jpg"
"top-artists","2010","30","","Andrea Bocelli","https://charts-static.billboard.com/img/2006/12/andrea-bocelli-g0h-53x53.jpg"
"top-artists","2010","31","","Iyaz","https://charts-static.billboard.com/img/2009/12/iyaz-a7g-53x53.jpg"
"top-artists","2010","32","","Owl City","https://charts-static.billboard.com/img/2009/12/owl-city-1t0-53x53.jpg"
"top-artists","2010","33","","John Mayer","https://charts-static.billboard.com/img/2017/05/john-mayer-53x53.jpg"
"top-artists","2010","34","","Mike Posner","https://charts-static.billboard.com/img/2010/12/mike-posner-oiz-53x53.jpg"
"top-artists","2010","35","","Nicki Minaj","https://charts-static.billboard.com/img/2010/12/nicki-minaj-thi-53x53.jpg"
"top-artists","2010","36","","Jason Aldean","https://charts-static.billboard.com/img/2006/12/jason-aldean-sa0-53x53.jpg"
"top-artists","2010","37","","Glee Cast","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
